#run	subrun	status
1050	139	good
1050	140	good
1050	141	good
1050	142	good
1050	143	good
1050	144	good
1050	145	good
1050	146	good
1050	147	good
1050	148	good
1050	149	good
1050	150	good
1050	151	good
1050	152	good
1050	153	good
1050	154	good
1050	155	good
1050	156	good
1050	157	good
1050	158	good
1050	159	good
1050	160	good
1050	161	good
1050	162	good
1050	163	good
1050	164	good
1050	165	good
1050	166	good
1050	167	good
1050	168	good
1050	169	good
1050	170	good
1050	171	good
1050	172	good
1050	173	good
1050	174	good
1050	175	good
1050	176	good
1050	177	good
1050	178	good
1050	179	good
1050	180	good
1050	181	good
1050	182	good
1050	183	good
1050	184	good
1050	185	good
1050	186	good
1050	187	good
1050	188	good
1050	189	good
1050	190	good
1050	191	good
1050	192	good
1050	193	good
1050	194	good
1050	195	good
1050	196	good
1050	197	good
1051	1	good
1051	2	good
1051	3	good
1051	4	good
1051	5	good
1051	6	good
1051	7	good
1051	8	good
1051	9	good
1051	10	good
1051	11	good
1051	12	good
1051	13	good
1051	14	good
1051	15	good
1051	16	good
1051	17	good
1051	18	good
1051	19	good
1051	20	good
1051	21	good
1051	22	good
1051	23	good
1051	24	good
1051	25	good
1051	26	good
1051	27	good
1051	28	good
1051	29	good
1051	30	good
1051	31	good
1051	32	good
1051	33	good
1051	34	good
1051	35	good
1051	36	good
1051	37	good
1051	38	good
1051	39	good
1051	40	good
1051	41	good
1051	42	good
1051	43	good
1051	44	good
1051	45	good
1051	46	good
1051	47	good
1051	48	good
1051	49	good
1051	50	good
1051	51	good
1051	52	good
1051	53	good
1051	54	good
1051	55	good
1051	56	good
1051	57	good
1051	58	good
1051	59	good
1052	1	good
1052	2	good
1053	1	good
1053	2	good
1053	3	good
1053	4	good
1053	5	good
1053	6	good
1053	7	good
1053	8	good
1053	9	good
1053	10	good
1053	11	good
1053	12	good
1053	13	good
1053	14	good
1053	15	good
1053	16	good
1053	17	good
1053	18	good
1053	19	good
1053	20	good
1053	21	good
1053	22	good
1053	23	good
1053	24	good
1053	25	good
1053	26	good
1053	27	good
1053	28	good
1053	29	good
1053	30	good
1053	31	good
1053	32	good
1053	33	good
1053	34	good
1053	35	good
1053	36	good
1053	37	good
1053	38	good
1053	39	good
1053	40	good
1053	41	good
1053	42	good
1053	43	good
1053	44	good
1053	45	good
1053	46	good
1053	47	good
1053	48	good
1053	49	good
1053	50	good
1053	51	good
1053	52	good
1053	53	good
1053	54	good
1053	55	good
1053	56	good
1053	57	good
1053	58	good
1053	59	good
1053	60	good
1053	61	good
1053	62	good
1053	63	good
1053	64	good
1053	65	good
1053	66	good
1053	67	good
1053	68	good
1053	69	good
1053	70	good
1053	71	good
1053	72	good
1053	73	good
1053	74	good
1053	75	good
1053	76	good
1053	77	good
1053	78	good
1053	79	good
1053	80	good
1053	81	good
1053	82	good
1053	83	good
1053	84	good
1053	85	good
1053	86	good
1053	87	good
1053	88	good
1054	1	questionable
1054	2	questionable
1054	3	questionable
1055	1	questionable
1055	2	questionable
1055	3	questionable
1055	4	questionable
1055	5	questionable
1055	6	questionable
1055	7	questionable
1055	8	questionable
1055	9	questionable
1055	10	questionable
1055	11	questionable
1055	12	questionable
1055	13	questionable
1055	14	questionable
1055	15	questionable
1055	16	questionable
1055	17	questionable
1055	18	questionable
1055	19	questionable
1055	20	questionable
1055	21	questionable
1055	22	questionable
1056	1	questionable
1056	2	questionable
1057	1	questionable
1058	1	questionable
1058	2	questionable
1058	3	questionable
1058	4	questionable
1058	5	questionable
1058	6	questionable
1058	7	questionable
1058	8	questionable
1058	9	questionable
1058	10	questionable
1058	11	questionable
1058	12	questionable
1058	13	questionable
1058	14	questionable
1058	15	questionable
1058	16	questionable
1058	17	questionable
1058	18	questionable
1058	19	questionable
1058	20	questionable
1058	21	questionable
1058	22	questionable
1058	23	questionable
1058	24	questionable
1058	25	questionable
1058	26	questionable
1058	27	questionable
1058	28	questionable
1058	29	questionable
1058	30	questionable
1058	31	questionable
1058	32	questionable
1058	33	questionable
1058	34	questionable
1058	35	questionable
1058	36	questionable
1058	37	questionable
1058	38	questionable
1059	19	good
1059	20	good
1060	16	questionable
1060	17	questionable
1060	18	questionable
1060	20	questionable
1060	21	questionable
1060	22	questionable
1060	23	questionable
1060	24	questionable
1060	25	questionable
1060	26	questionable
1060	27	questionable
1061	1	questionable
1061	2	questionable
1061	3	questionable
1062	1	questionable
1062	2	questionable
1062	3	questionable
1062	4	questionable
1062	5	questionable
1062	6	questionable
1062	7	questionable
1062	8	questionable
1062	9	questionable
1062	10	questionable
1062	11	questionable
1062	12	questionable
1062	13	questionable
1062	14	questionable
1062	15	questionable
1062	16	questionable
1064	1	bad
1064	2	bad
1064	3	bad
1064	4	bad
1064	5	bad
1064	6	bad
1064	7	bad
1064	8	bad
1064	9	bad
1064	10	bad
1064	11	bad
1064	12	bad
1064	13	bad
1064	14	bad
1066	1	good
1066	2	good
1066	3	good
1066	4	good
