% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,0.19685039,3.9368,11.7368,0.00004188,0.00881544,0.00074992,
-0.5905512,0.19685039,4.13360023,11.93360023,0.00002912,0.00788783,0.00068401,
-0.5905512,0.19685039,4.33039999,12.13039999,0.00000859,0.00713379,0.00058595,
-0.5905512,0.19685039,4.52720022,12.32720022,0.00001713,0.0064024,0.00048165,
-0.5905512,0.19685039,4.72440004,12.52440004,-0.00002535,0.00577913,0.00045261,
-0.5905512,0.19685039,4.921,12.721,0.00000493,0.00530329,0.00033456,
-0.5905512,0.19685039,5.11780024,12.91780024,-0.00000877,0.00474697,0.00034516,
-0.5905512,0.19685039,5.31459999,13.11459999,-0.00002892,0.00432627,0.00025415,
-0.5905512,0.19685039,5.51160002,13.31160002,0.00002973,0.00392817,0.00015824,
-0.5905512,0.19685039,5.70839977,13.50839977,-0.00001681,0.0035119,0.0001861,
-0.5905512,0.19685039,5.9053998,13.7053998,-0.00001658,0.0032311,0.00014409,
-0.5905512,0.19685039,6.10200024,13.90200024,-0.00006236,0.00293602,0.00012188,
-0.5905512,0.19685039,6.29920006,14.09920006,-0.00000042,0.00269663,0.00011038,
-0.5905512,0.19685039,6.49580002,14.29580002,-0.00002124,0.00249332,0.00005169,
-0.5905512,0.19685039,6.69259977,14.49259977,-0.00002001,0.00229629,0.000064,
-0.5905512,0.19685039,6.8895998,14.6895998,0.00000323,0.00216874,0.00010615,
-0.5905512,0.19685039,7.08640003,14.88640003,-0.00005554,0.00199862,0.00006836,
-0.5905512,0.19685039,7.28340006,15.08340006,-0.00002914,0.00182467,0.00001203,
-0.5905512,0.19685039,7.48000002,15.28000002,-0.00000975,0.00169811,0.00009146,
-0.5905512,0.19685039,7.67679977,15.47679977,-0.00000823,0.0015469,-0.00004462,
-0.5905512,0.19685039,7.8737998,15.6737998,-0.00004695,0.00147321,0.00003217,
-0.5905512,0.19685039,8.07059956,15.87059956,0.000019,0.00132985,-0.00001954,
-0.5905512,0.19685039,8.26739979,16.06739979,0.00000021,0.00122437,0.00000944,
-0.5905512,0.19685039,8.46440029,16.26440029,-0.00004719,0.00115822,0.00002298,
-0.5905512,0.19685039,8.66139984,16.46139984,-0.00005274,0.00111484,-0.00002519,
-0.5905512,0.19685039,8.8579998,16.6579998,0.0000262,0.00097606,-0.00003189,
-0.5905512,0.19685039,9.05480003,16.85480003,-0.00002652,0.00095519,-0.00004246,
-0.5905512,0.19685039,9.25160027,17.05160027,0.00000959,0.00093535,0.00000571,
-0.5905512,0.19685039,9.44859982,17.24859982,0.00000667,0.00087602,-0.00001651,
-0.5905512,0.19685039,9.64540005,17.44540005,-0.00005706,0.00081657,-0.00002363,
-0.5905512,0.19685039,9.8423996,17.6423996,-0.00003109,0.00069672,-0.00007684,
-0.5905512,0.19685039,10.03899956,17.83899956,0.00001105,0.00069324,-0.000044,
-0.5905512,0.19685039,10.23600006,18.03600006,-0.00000437,0.00061413,-0.00008671,
