% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-2.999831537          -10.99810699          135.0583674          0.099565545          -0.981731091          0.020265091
-2.999897761          -10.99840433          130.0581757          0.098980545          -1.021548091          0.022999091
-3.000096068          -10.99828853          125.0582325          0.099973545          -1.063781091          0.025930091
-3.000119201          -10.99814561          120.0583354          0.098013545          -1.108668091          0.028963091
-3.00004456          -10.99820838          115.0582927          0.089411545          -1.151585091          0.032129091
-3.000179655          -10.99805944          110.0581184          0.075359545          -1.187873091          0.035318091
-0.999937687          -10.99804175          110.057968          0.076281545          -1.189639091          0.027197091
-0.999802592          -10.99819069          115.0581423          0.090348545          -1.153254091          0.025243091
-0.999877233          -10.99812791          120.058185          0.098607545          -1.109619091          0.023366091
-0.9998541          -10.99827084          125.0580821          0.100630545          -1.064934091          0.021479091
-1.000155793          -10.99838663          130.0580253          0.099683545          -1.022336091          0.019798091
-1.000089569          -10.99808929          135.058217          0.100221545          -0.982294091          0.018259091
-1.000077321          -10.99808541          140.057931          0.104723545          -0.941686091          0.016903091
-1.000246109          -10.99841592          145.0578957          0.113892545          -0.897990091          0.015677091
-0.999814497          -10.9984101          150.058039          0.126241545          -0.848227091          0.014546091
-0.999891957          -10.99820895          155.0583223          0.140033545          -0.790883091          0.013501091
-0.99977833          -10.99817417          160.0580939          0.153094545          -0.725322091          0.012412091
-1.000138066          -10.99799399          165.0579786          0.161829545          -0.652726091          0.011468091
-1.000193478          -10.99832489          170.0581023          0.164545545          -0.576306091          0.010537091
-0.999991751          -10.9980505          175.0583016          0.159839545          -0.499759091          0.009671091
-1.000194382          -10.99841337          180.0582975          0.149149545          -0.427504091          0.008764091
0.99978961          -10.99836884          180.0579843          0.149119545          -0.427412091          0.007382091
0.999992241          -10.99800597          175.0579883          0.159842545          -0.499796091          0.008740091
0.999790514          -10.99828036          170.0582891          0.164616545          -0.576235091          0.010213091
0.999845926          -10.99844946          165.0576654          0.162052545          -0.652688091          0.011716091
1.000205662          -10.99812964          160.0582806          0.153119545          -0.725181091          0.013007091
1.000092035          -10.99816441          155.0580091          0.140319545          -0.790943091          0.014106091
1.000169495          -10.99836556          150.0582258          0.126364545          -0.848451091          0.014866091
1.000237883          -10.99837138          145.0580824          0.113833545          -0.898165091          0.015431091
0.999906671          -10.99804088          140.0581177          0.104847545          -0.941997091          0.015858091
0.999894423          -10.99804476          135.0574038          0.100359545          -0.982348091          0.016199091
0.999828199          -10.9983421          130.058212          0.099771545          -1.022507091          0.016590091
1.000129892          -10.9982263          125.0577689          0.100894545          -1.065328091          0.017073091
1.000106759          -10.99808338          120.0583717          0.098981545          -1.110355091          0.017769091
1.0001814          -10.99814615          115.0583291          0.090600545          -1.153896091          0.018498091
1.000046305          -10.99799722          110.0581548          0.076534545          -1.190173091          0.019139091
2.999778241          -10.99845268          110.0583415          0.076404545          -1.189980091          0.010970091
2.999913336          -10.99810162          115.0580158          0.090522545          -1.153770091          0.011596091
2.999838695          -10.99803885          120.0580585          0.098847545          -1.110314091          0.012057091
2.999861828          -10.99818177          125.0579556          0.100516545          -1.064963091          0.012575091
3.000060135          -10.99829757          130.0578988          0.099491545          -1.022593091          0.013333091
3.000126359          -10.99800023          135.0580905          0.099844545          -0.982148091          0.014152091
3.000138607          -10.99799635          140.0583045          0.104639545          -0.942007091          0.014800091
2.999969819          -10.99832685          145.0582692          0.113634545          -0.898250091          0.015245091
2.999901431          -10.99832103          150.0579125          0.126159545          -0.848613091          0.015233091
2.999823971          -10.99811988          155.0581959          0.140133545          -0.790978091          0.014719091
2.999937598          -10.99808511          160.0579674          0.153123545          -0.725297091          0.013602091
3.000077862          -10.99840492          165.0583522          0.162035545          -0.652699091          0.011922091
3.00002245          -10.99823583          170.0579759          0.164751545          -0.576021091          0.009938091
3.000224177          -10.99846144          175.0581751          0.160231545          -0.499474091          0.007888091
3.000021546          -10.99832431          180.058171          0.149394545          -0.427123091          0.006033091
5.000043042          -10.99837765          180.058338          0.149564545          -0.426532091          0.004641091
5.000245673          -10.99801478          175.058342          0.160840545          -0.499121091          0.006969091
5.000043946          -10.99828917          170.0581428          0.165152545          -0.575896091          0.009682091
5.000099358          -10.99845826          165.0575191          0.162723545          -0.652857091          0.012273091
4.999959094          -10.99813845          160.0576343          0.153584545          -0.725733091          0.014299091
4.999845467          -10.99817322          155.0583628          0.140365545          -0.791406091          0.015409091
4.999922927          -10.99837437          150.0580795          0.126009545          -0.849041091          0.015620091
4.999991315          -10.99838019          145.0579361          0.113117545          -0.898419091          0.014982091
5.000160103          -10.99804969          140.0579714          0.103930545          -0.941940091          0.013754091
5.000147855          -10.99805357          135.0582575          0.099177545          -0.981985091          0.011991091
5.000081631          -10.99835091          130.0580657          0.098767545          -1.021710091          0.009921091
4.999883324          -10.99823511          125.0581226          0.099804545          -1.064383091          0.007912091
4.999860191          -10.99809219          120.0582254          0.098080545          -1.109135091          0.006113091
4.999934832          -10.99815496          115.0581828          0.089832545          -1.152804091          0.004367091
4.999799737          -10.99800602          110.0580085          0.075664545          -1.188899091          0.002299091
6.999759265          -10.99811189          110.0581648          0.074364545          -1.186643091          -0.007049909
6.99989436          -10.99826083          115.0583391          0.088479545          -1.150538091          -0.003592909
6.999819719          -10.99819805          120.0578818          0.096952545          -1.107164091          -0.000298909
6.999842852          -10.99834098          125.0582789          0.098619545          -1.062808091          0.002937091
7.000041159          -10.99845677          130.0582221          0.097232545          -1.020720091          0.006395091
7.000107383          -10.99815944          135.0579138          0.097897545          -0.981562091          0.009723091
7.000119631          -10.99815555          140.0581278          0.102898545          -0.942207091          0.012625091
6.999950843          -10.99798606          145.0580925          0.112344545          -0.898864091          0.014766091
6.999882455          -10.99798024          150.0582359          0.125385545          -0.849738091          0.015987091
6.999804995          -10.99827909          155.0580192          0.139899545          -0.792116091          0.016094091
6.999918622          -10.99824431          160.0582907          0.153583545          -0.726371091          0.015010091
7.000058886          -10.99806413          165.0581755          0.163266545          -0.653167091          0.012625091
7.000003474          -10.99839503          170.0582992          0.166121545          -0.575816091          0.009436091
7.000205201          -10.99812064          175.0579984          0.161388545          -0.498581091          0.006065091
